선수명,팀명,년도,타율,경기,타수,득점,홈런,출루율,장타율,출루율+장타율,득점권타율,추정득점,포지션,수비 승리 기여도,수비이닝 합계,도루시도,도루허용,도루성공률
이인혁,NC,2019,0.250,6,8,1,1,0.333,0.625,0.958,0.0,1.7,"['우익수', '중견수']",-0.020499999999999997,20,0.0,0.0,-
강진성,NC,2019,0.247,41,97,11,2,0.298,0.371,0.669,0.207,8.8,"['좌익수', '우익수']",-0.1385,135 2/3,3.0,2.0,66.7
베탄코트,NC,2019,0.246,53,203,23,8,0.308,0.404,0.712,0.267,26.8,['1루수'],-0.303,140,2.0,1.0,50.0
김성욱,NC,2019,0.230,116,287,38,9,0.302,0.387,0.689,0.297,36.4,"['중견수', '우익수']",0.133,775,10.0,6.0,60.0
스몰린스키,NC,2019,0.229,55,205,32,9,0.298,0.439,0.737,0.333,26.6,['우익수'],-0.256,455 2/3,4.0,3.0,75.0
지석훈,NC,2019,0.228,76,149,15,2,0.299,0.329,0.628,0.15,13.8,"['3루수', '유격수', '2루수']",0.10166666666666668,397,1.0,0.0,0.0
정범모,NC,2019,0.225,25,40,4,2,0.279,0.400,0.679,0.125,4.7,['포수'],0.14,103,2.0,1.0,50.0
김형준,NC,2019,0.224,55,107,13,2,0.278,0.327,0.605,0.122,9.8,['포수'],0.146,286 2/3,0.0,0.0,-
김태군,NC,2019,0.182,18,22,0,0,0.357,0.182,0.539,0.143,2.0,['포수'],0.294,71 1/3,0.0,0.0,-
김진형,NC,2019,0.150,11,20,2,0,0.136,0.200,0.336,0.0,0.6,['1루수'],-0.099,39,0.0,0.0,-
오영수,NC,2019,0.125,3,8,0,0,0.125,0.125,0.250,0.0,-0.2,0,0.0,0,0.0,0.0,-
박헌욱,NC,2019,0.111,6,9,0,0,0.111,0.222,0.333,0.333,-0.4,"['중견수', '우익수']",0.0205,25,0.0,0.0,-
강윤구,NC,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김건태,NC,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김영규,NC,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김진성,NC,2019,-,3,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김철호,NC,2019,0.000,2,2,0,0,0.000,0.000,0.000,0.0,-0.2,['2루수'],0.0,1,0.0,0.0,-
민태호,NC,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
배재환,NC,2019,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
원종현,NC,2019,-,6,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
유영준,NC,2019,0.000,3,4,0,0,0.000,0.000,0.000,0.0,-0.4,['1루수'],0.066,8,0.0,0.0,-
유원상,NC,2019,-,3,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
윤지웅,NC,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
이우석,NC,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
전사민,NC,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
최성영,NC,2019,-,1,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
홍성무,NC,2019,-,2,0,0,0,-,-,-,0.0,0.0,0,0.0,0,0.0,0.0,-
김기환,NC,2020,0.500,4,2,1,0,0.500,1.000,1.500,0.0,0.6,['좌익수'],0.026,5,0.0,0.0,-
이재율,NC,2020,0.444,25,9,9,0,0.500,0.556,1.056,0.6,2.1,"['중견수', '좌익수']",0.0435,31,5.0,4.0,80.0
박민우,NC,2020,0.345,126,467,82,8,0.402,0.475,0.877,0.388,85.7,['2루수'],1.918,943 2/3,19.0,13.0,68.4
양의지,NC,2020,0.328,130,461,86,33,0.400,0.603,1.003,0.425,102.7,['포수'],1.381,792,7.0,5.0,71.4
나성범,NC,2020,0.324,130,525,115,34,0.390,0.596,0.986,0.338,111.0,['우익수'],-0.217,379 2/3,4.0,3.0,75.0
강진성,NC,2020,0.309,121,395,53,12,0.351,0.463,0.814,0.348,62.2,"['1루수', '우익수', '좌익수']",-0.13366666666666668,825 2/3,10.0,9.0,90.0
박석민,NC,2020,0.306,123,356,58,14,0.436,0.466,0.902,0.327,74.1,['3루수'],-1.024,825 2/3,1.0,0.0,0.0
이명기,NC,2020,0.306,136,477,82,2,0.374,0.369,0.743,0.311,67.8,"['좌익수', '중견수']",-0.23149999999999998,875,19.0,12.0,63.2
김형준,NC,2020,0.306,44,72,12,3,0.390,0.444,0.834,0.25,12.4,['포수'],0.067,164 1/3,0.0,0.0,-
모창민,NC,2020,0.301,62,136,10,2,0.340,0.449,0.789,0.282,18.9,['1루수'],-0.08,146 2/3,0.0,0.0,-
김찬형,NC,2020,0.297,56,64,10,0,0.343,0.391,0.734,0.316,9.1,"['유격수', '3루수']",-0.3185,190 2/3,4.0,3.0,75.0
김태군,NC,2020,0.292,80,113,16,1,0.347,0.372,0.719,0.323,14.4,['포수'],0.855,335 1/3,0.0,0.0,-
알테어,NC,2020,0.278,136,482,90,31,0.352,0.541,0.893,0.333,92.8,['중견수'],-1.148,1094 2/3,25.0,22.0,88.0
최정원,NC,2020,0.275,49,40,18,0,0.383,0.400,0.783,0.222,6.8,"['2루수', '좌익수', '3루수']",-0.030000000000000006,100,4.0,4.0,100
노진혁,NC,2020,0.274,132,427,70,20,0.356,0.480,0.836,0.351,69.0,"['유격수', '3루수', '1루수']",0.5393333333333333,1005,4.0,0.0,0.0
권희동,NC,2020,0.260,123,346,67,12,0.379,0.410,0.789,0.286,60.1,"['우익수', '좌익수', '중견수']",0.042333333333333334,784,3.0,3.0,100
이원재,NC,2020,0.258,73,132,15,4,0.313,0.417,0.730,0.242,17.1,['1루수'],-0.031,282 1/3,1.0,1.0,100
윤수강,NC,2020,0.250,4,4,0,0,0.250,0.250,0.500,0.0,0.2,['포수'],-0.045,5,0.0,0.0,-
김성욱,NC,2020,0.221,104,195,32,8,0.294,0.374,0.668,0.297,25.2,"['우익수', '중견수', '좌익수']",0.044333333333333336,471 2/3,17.0,12.0,70.6
김준완,NC,2020,0.215,45,65,8,1,0.320,0.277,0.597,0.158,5.8,"['우익수', '중견수', '좌익수']",0.033666666666666664,176,0.0,0.0,-
지석훈,NC,2020,0.207,87,121,22,1,0.300,0.298,0.598,0.214,11.6,"['3루수', '2루수', '유격수']",0.20925,382 2/3,1.0,1.0,100
